#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
GO:0045165	113	113	31	5616	0.55	82	6812	1.19	ENSG00000164690,ENSG00000125378,ENSG00000175097,ENSG00000071564,ENSG00000180613,ENSG00000103449,ENSG00000123388,ENSG00000160867,ENSG00000166225,ENSG00000137270,ENSG00000204301,ENSG00000143032,ENSG00000149922,ENSG00000128602,ENSG00000064309,ENSG00000104313,ENSG00000181965,ENSG00000156574,ENSG00000107807,ENSG00000057657,ENSG00000162367,ENSG00000162992,ENSG00000133895,ENSG00000117724,ENSG00000138136,ENSG00000157168,ENSG00000139445,ENSG00000106038,ENSG00000064655,ENSG00000241186,ENSG00000185652	ENSG00000171791,ENSG00000125820,ENSG00000180818,ENSG00000128710,ENSG00000138083,ENSG00000181449,ENSG00000143190,ENSG00000141510,ENSG00000121031,ENSG00000104432,ENSG00000197905,ENSG00000165588,ENSG00000108379,ENSG00000168621,ENSG00000070193,ENSG00000126778,ENSG00000005073,ENSG00000164056,ENSG00000113578,ENSG00000186895,ENSG00000107831,ENSG00000172238,ENSG00000168036,ENSG00000170365,ENSG00000101384,ENSG00000107485,ENSG00000007372,ENSG00000105996,ENSG00000184916,ENSG00000101938,ENSG00000075891,ENSG00000177103,ENSG00000179348,ENSG00000198719,ENSG00000134250,ENSG00000143384,ENSG00000117707,ENSG00000080815,ENSG00000125084,ENSG00000150093,ENSG00000105701,ENSG00000125398,ENSG00000143801,ENSG00000175387,ENSG00000119547,ENSG00000125845,ENSG00000134532,ENSG00000136158,ENSG00000110693,ENSG00000169856,ENSG00000119614,ENSG00000132170,ENSG00000178403,ENSG00000123307,ENSG00000140682,ENSG00000164305,ENSG00000187098,ENSG00000066468,ENSG00000172020,ENSG00000178568,ENSG00000143178,ENSG00000113658,ENSG00000124813,ENSG00000129514,ENSG00000164438,ENSG00000141646,ENSG00000016082,ENSG00000074181,ENSG00000106799,ENSG00000009709,ENSG00000135903,ENSG00000092969,ENSG00000163623,ENSG00000144355,ENSG00000115844,ENSG00000106852,ENSG00000121068,ENSG00000129152,ENSG00000136826,ENSG00000106571,ENSG00000074047,ENSG00000127616	-0.779665946702175	1.30833E-4	8.36611E-4
GO:0009628	443	444	76	3272	2.27	367	8826	3.99	ENSG00000132874,ENSG00000197641,ENSG00000129197,ENSG00000188778,ENSG00000211448,ENSG00000183395,ENSG00000170893,ENSG00000142168,ENSG00000196689,ENSG00000119718,ENSG00000115211,ENSG00000157005,ENSG00000143536,ENSG00000151332,ENSG00000042832,ENSG00000100299,ENSG00000167723,ENSG00000197930,ENSG00000166148,ENSG00000166313,ENSG00000105409,ENSG00000151577,ENSG00000165606,ENSG00000087088,ENSG00000182871,ENSG00000150275,ENSG00000125863,ENSG00000131697,ENSG00000144061,ENSG00000180613,ENSG00000099399,ENSG00000120289,ENSG00000102145,ENSG00000204612,ENSG00000135049,ENSG00000164105,ENSG00000108828,ENSG00000171067,ENSG00000165832,ENSG00000117569,ENSG00000133256,ENSG00000109103,ENSG00000070729,ENSG00000112041,ENSG00000148604,ENSG00000122375,ENSG00000021300,ENSG00000102076,ENSG00000116703,ENSG00000111701,ENSG00000152422,ENSG00000144554,ENSG00000030110,ENSG00000081237,ENSG00000225830,ENSG00000165392,ENSG00000152457,ENSG00000104313,ENSG00000181026,ENSG00000087206,ENSG00000012048,ENSG00000132688,ENSG00000143514,ENSG00000074621,ENSG00000161217,ENSG00000159200,ENSG00000111341,ENSG00000226979,ENSG00000135587,ENSG00000166925,ENSG00000166197,ENSG00000197299,ENSG00000166435,ENSG00000066926,ENSG00000056291,ENSG00000006128	ENSG00000079215,ENSG00000141030,ENSG00000170345,ENSG00000171223,ENSG00000120129,ENSG00000168906,ENSG00000049167,ENSG00000145736,ENSG00000119048,ENSG00000134574,ENSG00000140464,ENSG00000107643,ENSG00000136273,ENSG00000130939,ENSG00000164305,ENSG00000132906,ENSG00000136936,ENSG00000133895,ENSG00000077721,ENSG00000116062,ENSG00000165806,ENSG00000135945,ENSG00000160469,ENSG00000162607,ENSG00000158773,ENSG00000111199,ENSG00000099622,ENSG00000148926,ENSG00000137198,ENSG00000104321,ENSG00000102317,ENSG00000132170,ENSG00000109991,ENSG00000169252,ENSG00000128564,ENSG00000043591,ENSG00000150782,ENSG00000162390,ENSG00000144481,ENSG00000092969,ENSG00000171791,ENSG00000169271,ENSG00000163453,ENSG00000166452,ENSG00000065675,ENSG00000110680,ENSG00000187688,ENSG00000170606,ENSG00000138794,ENSG00000107562,ENSG00000108691,ENSG00000185122,ENSG00000173641,ENSG00000197723,ENSG00000001084,ENSG00000108443,ENSG00000089250,ENSG00000089220,ENSG00000152137,ENSG00000115353,ENSG00000111361,ENSG00000109846,ENSG00000170276,ENSG00000184557,ENSG00000070785,ENSG00000164867,ENSG00000213199,ENSG00000125538,ENSG00000162616,ENSG00000145191,ENSG00000138379,ENSG00000143627,ENSG00000116711,ENSG00000149295,ENSG00000120659,ENSG00000171552,ENSG00000072501,ENSG00000204315,ENSG00000105329,ENSG00000170836,ENSG00000039650,ENSG00000129071,ENSG00000091436,ENSG00000134259,ENSG00000168542,ENSG00000103249,ENSG00000121361,ENSG00000113273,ENSG00000137561,ENSG00000006071,ENSG00000145730,ENSG00000104267,ENSG00000110911,ENSG00000152661,ENSG00000169836,ENSG00000198049,ENSG00000151067,ENSG00000142192,ENSG00000177963,ENSG00000197386,ENSG00000157404,ENSG00000133703,ENSG00000113161,ENSG00000183454,ENSG00000124788,ENSG00000196338,ENSG00000170214,ENSG00000184845,ENSG00000120088,ENSG00000176884,ENSG00000164885,ENSG00000213281,ENSG00000160716,ENSG00000018625,ENSG00000069869,ENSG00000064300,ENSG00000106799,ENSG00000089041,ENSG00000106459,ENSG00000141510,ENSG00000152894,ENSG00000168079,ENSG00000111728,ENSG00000147507,ENSG00000103489,ENSG00000144681,ENSG00000138119,ENSG00000162129,ENSG00000105967,ENSG00000196591,ENSG00000135829,ENSG00000118762,ENSG00000181449,ENSG00000164171,ENSG00000150086,ENSG00000010810,ENSG00000079257,ENSG00000174343,ENSG00000064651,ENSG00000060718,ENSG00000102001,ENSG00000138207,ENSG00000135355,ENSG00000090020,ENSG00000183354,ENSG00000006468,ENSG00000165209,ENSG00000125971,ENSG00000110436,ENSG00000170113,ENSG00000170549,ENSG00000177030,ENSG00000165556,ENSG00000056097,ENSG00000176624,ENSG00000177764,ENSG00000139910,ENSG00000140319,ENSG00000081913,ENSG00000128908,ENSG00000150907,ENSG00000060138,ENSG00000102804,ENSG00000163694,ENSG00000167971,ENSG00000101849,ENSG00000130449,ENSG00000109132,ENSG00000169891,ENSG00000165659,ENSG00000132463,ENSG00000100625,ENSG00000170004,ENSG00000048740,ENSG00000152192,ENSG00000102471,ENSG00000139793,ENSG00000138668,ENSG00000112183,ENSG00000139800,ENSG00000172201,ENSG00000112242,ENSG00000163623,ENSG00000102226,ENSG00000100320,ENSG00000061455,ENSG00000091542,ENSG00000165312,ENSG00000105996,ENSG00000168772,ENSG00000087095,ENSG00000188779,ENSG00000169181,ENSG00000221978,ENSG00000100201,ENSG00000141858,ENSG00000015133,ENSG00000086758,ENSG00000103495,ENSG00000011114,ENSG00000055917,ENSG00000156860,ENSG00000150281,ENSG00000159307,ENSG00000163508,ENSG00000056487,ENSG00000089902,ENSG00000198793,ENSG00000129933,ENSG00000176842,ENSG00000122912,ENSG00000060339,ENSG00000165244,ENSG00000168003,ENSG00000166432,ENSG00000178502,ENSG00000188846,ENSG00000095203,ENSG00000168066,ENSG00000187257,ENSG00000130706,ENSG00000126016,ENSG00000101191,ENSG00000168286,ENSG00000165655,ENSG00000108175,ENSG00000185737,ENSG00000102038,ENSG00000106780,ENSG00000122367,ENSG00000004487,ENSG00000111145,ENSG00000178573,ENSG00000166454,ENSG00000168090,ENSG00000164076,ENSG00000124813,ENSG00000115507,ENSG00000095713,ENSG00000134644,ENSG00000121068,ENSG00000071553,ENSG00000144040,ENSG00000215897,ENSG00000177045,ENSG00000135272,ENSG00000111011,ENSG00000065609,ENSG00000135334,ENSG00000152402,ENSG00000188620,ENSG00000176170,ENSG00000133606,ENSG00000118058,ENSG00000197587,ENSG00000112406,ENSG00000187140,ENSG00000130726,ENSG00000074047,ENSG00000183770,ENSG00000155903,ENSG00000152601,ENSG00000168779,ENSG00000177565,ENSG00000198648,ENSG00000204335,ENSG00000172845,ENSG00000174279,ENSG00000175879,ENSG00000153827,ENSG00000143207,ENSG00000068024,ENSG00000163531,ENSG00000162923,ENSG00000186660,ENSG00000049618,ENSG00000104237,ENSG00000095464,ENSG00000198691,ENSG00000109047,ENSG00000180245,ENSG00000138741,ENSG00000127928,ENSG00000112599,ENSG00000167083,ENSG00000175544,ENSG00000110697,ENSG00000124818,ENSG00000137486,ENSG00000128617,ENSG00000134183,ENSG00000054277,ENSG00000139618,ENSG00000121031,ENSG00000183765,ENSG00000174405,ENSG00000105974,ENSG00000196584,ENSG00000112096,ENSG00000160712,ENSG00000134899,ENSG00000170734,ENSG00000069399,ENSG00000154767,ENSG00000113302,ENSG00000173039,ENSG00000095002,ENSG00000168811,ENSG00000163322,ENSG00000088305,ENSG00000197275,ENSG00000197065,ENSG00000196419,ENSG00000138075,ENSG00000158161,ENSG00000149311,ENSG00000085999,ENSG00000163781,ENSG00000158019,ENSG00000232810,ENSG00000138279,ENSG00000117009,ENSG00000168077,ENSG00000175595,ENSG00000121691,ENSG00000104884,ENSG00000012061,ENSG00000163161,ENSG00000134852,ENSG00000067225,ENSG00000124181,ENSG00000106089,ENSG00000175592,ENSG00000184602,ENSG00000157227,ENSG00000120899,ENSG00000125378,ENSG00000125845,ENSG00000131711,ENSG00000100234,ENSG00000227507,ENSG00000163513,ENSG00000185920,ENSG00000108821,ENSG00000154229,ENSG00000137745,ENSG00000177606,ENSG00000117289,ENSG00000115415,ENSG00000115457,ENSG00000140992,ENSG00000136238,ENSG00000123143,ENSG00000164342,ENSG00000095015,ENSG00000103569,ENSG00000146648,ENSG00000156113,ENSG00000166266,ENSG00000117394,ENSG00000110092,ENSG00000081479,ENSG00000163982,ENSG00000074771,ENSG00000185974,ENSG00000130561,ENSG00000111602	-0.5823280156613845	1.7718E-6	1.61431E-5
